Judge results for folder number 0 and 1(invisible, number, metaphor, NA, English) updated
Judge results for folder 8(invisible, number, relation, NA, English) updated
Judge results for folder number of keys on a standard piano(visible, number, mutual elements, NA, English) updated
Judge results for folder 6 and 9(visible, number, relation, NA, English) updated
Judge results for folder Golden Ratio(invisible, number, mutual elements, NA, English) updated
Judge results for folder Cryptography(invisible, number, metaphor, NA, English) updated
Judge results for folder Superstition(visible, number, mutual elements, USAEnglish, English) updated
Judge results for folder H2O(invisible, number, relation, NA, English) updated
Judge results for folder Basketball Team Composition(visible, number, metaphor, NA, English) updated
Judge results for folder Infinity(visible, number, metaphor, NA, English) updated
Judge results for folder Solar System(visible, number, relation, NA, English) updated
Judge results for folder Five Hundred Miles(invisible, number, relation, NA, English) updated
Judge results for folder 12-Bar Blues(invisible, number, relation, NA, English) updated
Judge results for folder Chance(invisible, number, metaphor, NA, English) updated
Judge results for folder One Thousand and One Nights(invisible, number, metaphor, East Asia, English) updated
Judge results for folder Cold War(invisible, history, relation, NA, English) updated
Judge results for folder Ancient Rome(invisible, history, relation, other, English) updated
Judge results for folder World War II(invisible, history, metaphor, NA, English) updated
Judge results for folder The Renaissance(invisible, history, metaphor, Non-English European, English) updated
Judge results for folder The Information Age(invisible, history, mutual elements, NA, English) updated
Judge results for folder The Age of Enlightenment(invisible, history, relation, NA, English) updated
Judge results for folder The Victorian Era(invisible, history, relation, Non-English European, English) updated
Judge results for folder The Roaring Twenties(invisible, history, relation, USAEnglish, English) updated
Judge results for folder Neil Armstrong's Footprint on the Moon(invisible, history, relation, USAEnglish, English) updated
Judge results for folder The Silk Road(invisible, history, metaphor, East Asia, English) updated
Judge results for folder The Reformation(invisible, history, metaphor, Non-English European, English) updated
Judge results for folder Hollywood Golden Age(visible, movie, relation, USAEnglish, English) updated
Judge results for folder Titanic(visible, movie, metaphor, USAEnglish, English) updated
Judge results for folder Horror(visible, movie, mutual elements, NA, English) updated
Judge results for folder Bollywood(visible, movie, metaphor, USAEnglish, English) updated
Judge results for folder cinema(invisible, movie, mutual elements, NA, English) updated
Judge results for folder Frozen(visible, movie, relation, USAEnglish, English) updated
Judge results for folder Making movie(invisible, movie, mutual elements, NA, English) updated
Judge results for folder Jurassic Park(invisible, movie, relation, USAEnglish, English) updated
Judge results for folder Studio Ghibli and anime(invisible, movie, metaphor, East Asia, English) updated
Judge results for folder Cannes Film Festival and Cinéma vérité(invisible, movie, metaphor, Non-English European, English) updated
Judge results for folder Film Post-Production(visible, movie, mutual elements, NA, English) updated
Judge results for folder Japanese cartoon(invisible, cartoon or game, mutual elements, East Asia, English) updated
Judge results for folder Mickey Mouse(invisible, cartoon or game, metaphor, USAEnglish, English) updated
Judge results for folder Video Games(invisible, cartoon or game, mutual elements, NA, English) updated
Judge results for folder 一箭双雕(invisible, art, metaphor, East Asia, Chinese) updated
Judge results for folder Batman(visible, cartoon or game, relation, USAEnglish, English) updated
Judge results for folder Mario(invisible, cartoon or game, relation, East Asia, English) updated
Judge results for folder anime(invisible, cartoon or game, metaphor, East Asia, English) updated
Judge results for folder Controller(invisible, cartoon or game, metaphor, NA, English) updated
Judge results for folder Multiplayer(invisible, cartoon or game, mutual elements, NA, English) updated
Judge results for folder Role-Play Game(RPG)(invisible, cartoon or game, metaphor, NA, English) updated
Judge results for folder Stardew Valley(invisible, cartoon or game, relation, NA, English) updated
Judge results for folder World-building game(invisible, cartoon or game, mutual elements, NA, English) updated
Judge results for folder Beethoven(invisible, music, relation, Non-English European, English) updated
Judge results for folder Rock Music(invisible, music, mutual elements, NA, English) updated
Judge results for folder Hip hop music(invisible, music, metaphor, NA, English) updated
Judge results for folder Grand Piano(invisible, music, relation, NA, English) updated
Judge results for folder String and Spectrum(invisible, music, relation, NA, English) updated
Judge results for folder Trumpet(invisible, music, meatphor, NA, English) updated
Judge results for folder Rock Music and Electric Instruments(invisible, music, relation, NA, English) updated
Judge results for folder K-pop(invisible, music, mutual elements, East Asia, English) updated
Judge results for folder Tango(invisible, music, metaphor, USAEnglish, English) updated
Judge results for folder El Niño(invisible, phenomenon, relation, NA, English) updated
Judge results for folder Nuclear Fission(invisible, phenomenon, mutual elements, NA, English) updated
Judge results for folder Ocean Tides(invisible, phenomenon, relation, NA, English) updated
Judge results for folder Glacier Melting(invisible, phenomenon, relation, NA, English) updated
Judge results for folder Superconductivity(invisible, phenomenon, mutual elements, NA, English) updated
Judge results for folder Hurricane(invisible, phenomenon, metaphor, NA, English) updated
Judge results for folder Halo Effect(invisible, phenomenon, relation, NA, English) updated
Judge results for folder Reality TV(invisible, phenomenon, mutual elements, NA, English) updated
Judge results for folder Podcast Boom(invisible, phenomenon, metaphor, NA, English) updated
Judge results for folder The Space Race(invisible, phenomenon, relation, NA, English) updated
Judge results for folder Cognitive Dissonance(invisible, phenomenon, metaphor, NA, English) updated
Judge results for folder The Gold Rush(invisible, phenomenon, metaphor, USAEnglish, English) updated
Judge results for folder Le Petit Prince(invisible, art, relation, Latin American, French) updated
Judge results for folder Victor Hugo(invisible, art, relation, Latin American, French) updated
Judge results for folder Les Misérables(invisible, art, relation, Latin American, French) updated
Judge results for folder Madame Bovary(invisible, art, relation, Latin American, French) updated
Judge results for folder Les Fleurs du mal(invisible, art, relation, Latin American, French) updated
Judge results for folder Germinal(invisible, art, relation, Latin American, French) updated
Judge results for folder La Peste(invisible, art, relation, Latin American, French) updated
Judge results for folder Chercher la petite bête(invisible, art, relation, Latin American, French) updated
Judge results for folder Raconter des salades(invisible, art, relation, Latin American, French) updated
Judge results for folder Avoir un coup de foudre(invisible, art, relation, Latin American, French) updated
Judge results for folder Don Quijote de la Mancha(invisible, art, relation, Latin American, Spanish) updated
Judge results for folder Cien años de soledad(invisible, art, relation, Latin American, Spanish) updated
Judge results for folder La Casa de los Espíritus(invisible, art, relation, Latin American, Spanish) updated
Judge results for folder El amor en los tiempos del cólera(invisible, art, relation, Latin American, Spanish) updated
Judge results for folder La sombra del viento(invisible, art, relation, Latin American, Spanish) updated
Judge results for folder Pedro Páramo(invisible, art, relation, Latin American, Spanish) updated
Judge results for folder ¡Es un pez gordo(invisible, art, relation, Latin American, Spanish) updated
Judge results for folder Dar en el clavo(invisible, art, relation, Latin American, Spanish) updated
Judge results for folder Echar leña al fuego(invisible, art, relation, Latin American, Spanish) updated
Judge results for folder Pedir peras al olmo(invisible, art, relation, Latin American, Spanish) updated
Judge results for folder Faust(invisible, art, relation, Latin American, German) updated
Judge results for folder Der Prozess(invisible, art, relation, Latin American, German) updated
Judge results for folder Die Verwandlung(invisible, art, relation, Latin American, German) updated
Judge results for folder Die Räuber(invisible, art, relation, Latin American, German) updated
Judge results for folder Der Steppenwolf(invisible, art, relation, Latin American, German) updated
Judge results for folder Nibelungenlied(invisible, art, relation, Latin American, German) updated
Judge results for folder Ich verstehe nur Bahnhof(invisible, art, relation, Latin American, German) updated
Judge results for folder Die Katze im Sack kaufen(invisible, art, relation, Latin American, German) updated
Judge results for folder Hals- und Beinbruch(invisible, art, relation, Latin American, German) updated
Judge results for folder Kopf in den Sand stecken(invisible, art, relation, Latin American, German) updated
Judge results for folder sleigh(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder lock(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder vampire(invisible, myth, mutual elements, NA, English) updated
Judge results for folder trophy(invisible, sports, mutual elements, NA, English) updated
Judge results for folder popcorn(invisible, food, mutual elements, NA, English) updated
Judge results for folder christmasbauble(invisible, culture, mutual elements, NA, English) updated
Judge results for folder banana(invisible, cartoon or game, mutual elements, NA, English) updated
Judge results for folder coconut(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder bottle(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder butterfly(invisible, animal, mutual elements, NA, English) updated
Judge results for folder lobster(invisible, food, mutual elements, NA, English) updated
Judge results for folder antlers(invisible, animal, mutual elements, NA, English) updated
Judge results for folder rainbow(invisible, phenomenon, mutual elements, NA, English) updated
Judge results for folder atomicbomb(invisible, history, mutual elements, NA, English) updated
Judge results for folder surfboard(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder mascara(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder ship(invisible, stuff, mutual elements, NA, English) updated
Judge results for folder rocket(invisible, STEM, mutual elements, NA, English) updated
